model_0,model_1,model_2,model_3,model_4
4.815638065338135,5.462249755859375,4.782491207122803,4.64768123626709,4.717358112335205
4.7787394523620605,5.391317367553711,4.731621265411377,4.558533668518066,4.654670715332031
4.740506172180176,5.32174015045166,4.680118560791016,4.473186016082764,4.592947483062744
4.703028202056885,5.2535786628723145,4.626969814300537,4.389862537384033,4.532282829284668
4.665657997131348,5.186322212219238,4.572295665740967,4.307136058807373,4.472314834594727
4.628210544586182,5.1198601722717285,4.517101287841797,4.224568843841553,4.4122090339660645
4.589474201202393,5.054269313812256,4.4620280265808105,4.142357349395752,4.352236270904541
4.549503326416016,4.988280296325684,4.406562805175781,4.0609636306762695,4.292459487915039
4.508649826049805,4.920922756195068,4.350383758544922,3.978672981262207,4.233273983001709
4.4661993980407715,4.852121829986572,4.292939186096191,3.896247625350952,4.174463748931885
4.422511100769043,4.781152725219727,4.234385013580322,3.8143482208251953,4.116533279418945
4.3767900466918945,4.707633018493652,4.174189567565918,3.732165813446045,4.058324337005615
4.3290581703186035,4.631699562072754,4.112468242645264,3.6490399837493896,3.998687982559204
4.278703689575195,4.553171157836914,4.048714637756348,3.5630345344543457,3.937995195388794
4.226003170013428,4.471655368804932,3.9826931953430176,3.4748806953430176,3.875972032546997
4.171693801879883,4.387221336364746,3.914529800415039,3.3843870162963867,3.812407970428467
4.115298748016357,4.29999303817749,3.8440637588500977,3.2920422554016113,3.7465267181396484
4.05560827255249,4.210312843322754,3.771327018737793,3.1979122161865234,3.6792335510253906
3.992138147354126,4.118136882781982,3.696113348007202,3.101235866546631,3.610218048095703
3.924865961074829,4.023417949676514,3.6178715229034424,3.002330780029297,3.5391392707824707
3.854114055633545,3.925916910171509,3.536149740219116,2.902256488800049,3.466409683227539
3.779680013656616,3.8255770206451416,3.4514987468719482,2.800355911254883,3.391690492630005
3.701676607131958,3.7225382328033447,3.363487720489502,2.6966888904571533,3.316030740737915
3.619812488555908,3.6171281337738037,3.2715468406677246,2.5926849842071533,3.239926338195801
3.534715414047241,3.509671926498413,3.1758275032043457,2.48826265335083,3.161817789077759
3.4468815326690674,3.400430679321289,3.0762743949890137,2.3836421966552734,3.0814812183380127
3.3562159538269043,3.290027141571045,2.973418951034546,2.2806477546691895,2.9989540576934814
3.2629642486572266,3.1782822608947754,2.868281126022339,2.179765462875366,2.914294481277466
3.1679775714874268,3.065185308456421,2.7604990005493164,2.0811636447906494,2.8276326656341553
3.0716397762298584,2.9512267112731934,2.6502556800842285,1.9858639240264893,2.739309310913086
2.974942922592163,2.83711576461792,2.5378665924072266,1.8949053287506104,2.649771213531494
2.878251314163208,2.723872423171997,2.4236366748809814,1.809046983718872,2.559180736541748
2.7823102474212646,2.612128734588623,2.308600664138794,1.728521466255188,2.46766996383667
2.688368320465088,2.503077507019043,2.1942338943481445,1.65425705909729,2.375838041305542
2.597076654434204,2.3978536128997803,2.0805511474609375,1.5876349210739136,2.284217357635498
2.509378433227539,2.2974228858947754,1.968708872795105,1.5288220643997192,2.19301700592041
2.4261505603790283,2.2028961181640625,1.8599823713302612,1.4779284000396729,2.102675437927246
2.3481249809265137,2.115598440170288,1.755218744277954,1.434883952140808,2.0135178565979004
2.275263547897339,2.036223888397217,1.6553503274917603,1.399070143699646,1.9263416528701782
2.207982063293457,1.9657310247421265,1.5613516569137573,1.3691872358322144,1.841605544090271
2.1463570594787598,1.9047280550003052,1.4738072156906128,1.3436514139175415,1.7598809003829956
2.090334415435791,1.8538570404052734,1.3934755325317383,1.3206779956817627,1.6812529563903809
2.0401926040649414,1.8133649826049805,1.3208160400390625,1.2985012531280518,1.6062653064727783
1.9943287372589111,1.78273606300354,1.2558643817901611,1.2753952741622925,1.5352485179901123
1.9516891241073608,1.760951042175293,1.1983448266983032,1.2500768899917603,1.4693807363510132
1.9112021923065186,1.7465444803237915,1.1476171016693115,1.2220724821090698,1.40867280960083
1.8709611892700195,1.7375462055206299,1.102805256843567,1.1913632154464722,1.3531005382537842
1.8315024375915527,1.7320144176483154,1.0625717639923096,1.1581655740737915,1.3024178743362427
1.7926443815231323,1.7277246713638306,1.025618076324463,1.122889518737793,1.2568161487579346
1.7537811994552612,1.722838044166565,0.9903964400291443,1.0868078470230103,1.2162933349609375
1.715366244316101,1.7155187129974365,0.9557523727416992,1.0507607460021973,1.179888367652893
1.6783355474472046,1.7047241926193237,0.9208086133003235,1.0148512125015259,1.146904706954956
1.642172932624817,1.6900010108947754,0.8852452039718628,0.9800659418106079,1.1162668466567993
1.607729196548462,1.6714528799057007,0.8494948148727417,0.946190595626831,1.0874569416046143
1.5746873617172241,1.6496639251708984,0.814437210559845,0.9133402705192566,1.0592254400253296
1.5430481433868408,1.6249557733535767,0.7780349254608154,0.8816663026809692,1.0311894416809082
1.5121283531188965,1.5981391668319702,0.7407614588737488,0.8508787155151367,1.0026148557662964
1.4824507236480713,1.5699622631072998,0.703228771686554,0.8210919499397278,0.9731463193893433
1.4542325735092163,1.5414323806762695,0.6658096313476562,0.7921072244644165,0.9429045915603638
1.426958441734314,1.5130606889724731,0.6287271976470947,0.763922929763794,0.9121299386024475
1.3997313976287842,1.485146164894104,0.5925941467285156,0.7367784976959229,0.8809341788291931
1.3720532655715942,1.4579368829727173,0.5579063296318054,0.7095311284065247,0.8497416377067566
1.3436639308929443,1.4314748048782349,0.5247313976287842,0.6820385456085205,0.8188635110855103
1.3143006563186646,1.4055691957473755,0.49392732977867126,0.6544217467308044,0.7887138724327087
1.283892035484314,1.3800307512283325,0.4650741219520569,0.6264039278030396,0.7592764496803284
1.2525405883789062,1.3546640872955322,0.4386453330516815,0.5982722640037537,0.730863094329834
1.2204126119613647,1.329227328300476,0.4145503640174866,0.5705366730690002,0.7034447193145752
1.187885046005249,1.3034228086471558,0.3923477530479431,0.54339599609375,0.6772234439849854
1.1545960903167725,1.2770684957504272,0.37200671434402466,0.517271101474762,0.652193546295166
1.1202843189239502,1.2499459981918335,0.3537784814834595,0.4918613135814667,0.6284107565879822
1.085073709487915,1.221845269203186,0.33799871802330017,0.467361181974411,0.6060967445373535
1.0489736795425415,1.1926759481430054,0.32397034764289856,0.4440188407897949,0.585023820400238
1.0121774673461914,1.1624078750610352,0.31168556213378906,0.422015905380249,0.5653271675109863
0.97480708360672,1.131272315979004,0.3008013069629669,0.4015788435935974,0.5468195676803589
0.9367941617965698,1.0993677377700806,0.2911061644554138,0.38320276141166687,0.5293055176734924
0.8983124494552612,1.0666404962539673,0.2827427089214325,0.3663261830806732,0.5126892328262329
0.8595187067985535,1.0333750247955322,0.2756502330303192,0.35120707750320435,0.49684008955955505
0.8205298185348511,0.9995684623718262,0.26970764994621277,0.33780592679977417,0.4818406105041504
0.7815234065055847,0.9652541875839233,0.2647617757320404,0.32610923051834106,0.46769312024116516
0.7425681352615356,0.9304622411727905,0.26067134737968445,0.3159046173095703,0.45429933071136475
0.7037037014961243,0.895498514175415,0.25738322734832764,0.30702945590019226,0.4417135417461395
0.6656056642532349,0.8606768250465393,0.2547708749771118,0.29917052388191223,0.4296877384185791
0.628006637096405,0.8257266283035278,0.2527698278427124,0.2922504246234894,0.4183696210384369
0.5913191437721252,0.79088294506073,0.251270592212677,0.2861769497394562,0.4075676500797272
0.5560130476951599,0.7559432983398438,0.25010353326797485,0.2812790274620056,0.39732626080513
0.5225265026092529,0.7214121222496033,0.24931389093399048,0.2771810293197632,0.38767871260643005
0.49042701721191406,0.6877573132514954,0.24873676896095276,0.27386021614074707,0.37862178683280945
0.45984840393066406,0.6550598740577698,0.24833804368972778,0.27104008197784424,0.37019944190979004
0.4314495325088501,0.623389482498169,0.24805612862110138,0.2688900828361511,0.3624226152896881
0.405120849609375,0.5926675200462341,0.2477370798587799,0.2672955095767975,0.3552800714969635
0.3807576894760132,0.5633893013000488,0.24731455743312836,0.2659950256347656,0.3486136496067047
0.3586229979991913,0.5352276563644409,0.24677301943302155,0.26490432024002075,0.3422994911670685
0.3382672369480133,0.5085888504981995,0.24604946374893188,0.2639358341693878,0.3363448977470398
0.3198218047618866,0.48334595561027527,0.24512283504009247,0.2629818916320801,0.3308783769607544
0.3033744990825653,0.45952796936035156,0.2440100461244583,0.2619660794734955,0.3258185088634491
0.28909409046173096,0.4370041489601135,0.24274641275405884,0.260837197303772,0.3210991322994232
0.2768278419971466,0.41593095660209656,0.2413591593503952,0.25954052805900574,0.31653645634651184
0.2666908800601959,0.39632076025009155,0.23988017439842224,0.25807908177375793,0.31207653880119324
0.2586740553379059,0.37827545404434204,0.23838196694850922,0.2564402222633362,0.3077832758426666
0.2525619566440582,0.36208611726760864,0.2369714379310608,0.254800945520401,0.3035619556903839
0.24810367822647095,0.3476031422615051,0.23561623692512512,0.2529710829257965,0.29944366216659546
0.24527017772197723,0.3347916305065155,0.23424535989761353,0.25116583704948425,0.29550185799598694
0.24379903078079224,0.3234776556491852,0.23294667899608612,0.2493368238210678,0.29173070192337036
0.24331912398338318,0.31356415152549744,0.23165780305862427,0.2475731372833252,0.2881878614425659
0.2434079647064209,0.3049929738044739,0.23039209842681885,0.24588358402252197,0.2848763167858124
0.24368222057819366,0.2977239191532135,0.22922831773757935,0.24428120255470276,0.2817578911781311
0.24386754631996155,0.2915576994419098,0.22811441123485565,0.24287711083889008,0.27900373935699463
0.24367381632328033,0.2862888276576996,0.2270525097846985,0.24157488346099854,0.27650976181030273
0.24309785664081573,0.2818383276462555,0.22602854669094086,0.24036641418933868,0.2741568386554718
0.24209094047546387,0.27804410457611084,0.22504234313964844,0.23925626277923584,0.2719483971595764
0.24063871800899506,0.2747453451156616,0.22409924864768982,0.2382735013961792,0.26987677812576294
0.23876696825027466,0.27187132835388184,0.2231922447681427,0.23739299178123474,0.26788049936294556
0.23668906092643738,0.26942911744117737,0.22231966257095337,0.23652857542037964,0.2659566402435303
0.2342950701713562,0.26722684502601624,0.22146804630756378,0.2356681525707245,0.26411378383636475
0.2317482978105545,0.265166312456131,0.2206813395023346,0.23483198881149292,0.2624055743217468
0.22929750382900238,0.26317718625068665,0.21991634368896484,0.23421338200569153,0.2607784569263458
0.22695986926555634,0.2612259089946747,0.21916991472244263,0.2335522323846817,0.2592089772224426
0.22476975619792938,0.25931471586227417,0.21842677891254425,0.23283007740974426,0.25766968727111816
0.22284983098506927,0.25739941000938416,0.21770082414150238,0.23213337361812592,0.2561725080013275
0.22111622989177704,0.2554436922073364,0.2170005738735199,0.23152029514312744,0.2546922564506531
0.21958427131175995,0.2533842623233795,0.2163110077381134,0.23085689544677734,0.2532304525375366
0.2182779163122177,0.25126639008522034,0.2156054973602295,0.23024623095989227,0.25182223320007324
0.21713191270828247,0.24917395412921906,0.2148941159248352,0.2296440750360489,0.25052088499069214
0.21610279381275177,0.24708907306194305,0.21419264376163483,0.2289981096982956,0.24925802648067474
0.21517792344093323,0.245006263256073,0.21349602937698364,0.2283128798007965,0.2479785680770874
0.214316263794899,0.24298273026943207,0.2128119170665741,0.22771212458610535,0.2466471642255783
0.21345221996307373,0.24103020131587982,0.21213610470294952,0.22711075842380524,0.2452850639820099
0.21253527700901031,0.2391643226146698,0.21146579086780548,0.22650764882564545,0.24403826892375946
0.21162626147270203,0.23746614158153534,0.2108168601989746,0.22594048082828522,0.2427906095981598
0.21075163781642914,0.23588305711746216,0.21017472445964813,0.22537246346473694,0.24154391884803772
0.20989276468753815,0.234416201710701,0.20953480899333954,0.22479026019573212,0.2402966469526291
0.2090703845024109,0.23304292559623718,0.20890073478221893,0.22427770495414734,0.23903703689575195
0.20822803676128387,0.23180712759494781,0.20826958119869232,0.22379985451698303,0.2377614676952362
0.20731568336486816,0.23069056868553162,0.207645982503891,0.22333738207817078,0.23647907376289368
0.20633496344089508,0.22964096069335938,0.20702654123306274,0.22285394370555878,0.2351922243833542
0.20531998574733734,0.22863812744617462,0.20646533370018005,0.22239068150520325,0.2339058220386505
0.20436696708202362,0.22767402231693268,0.20584678649902344,0.2219592183828354,0.23262560367584229
0.20343764126300812,0.22677160799503326,0.20528651773929596,0.2215215563774109,0.23138999938964844
0.20251989364624023,0.22589044272899628,0.20472078025341034,0.22104789316654205,0.23016664385795593
0.20164048671722412,0.22503319382667542,0.20415040850639343,0.2205423265695572,0.2289458066225052
0.20079772174358368,0.2241741120815277,0.2036050409078598,0.22001560032367706,0.22775216400623322
0.19995881617069244,0.2233336716890335,0.2030406892299652,0.21955391764640808,0.22655868530273438
0.1991209089756012,0.22250793874263763,0.2025076448917389,0.21908122301101685,0.22538870573043823
0.19826571643352509,0.22169502079486847,0.20200610160827637,0.21868835389614105,0.2242225706577301
0.19740304350852966,0.22085192799568176,0.20147253572940826,0.2182629555463791,0.22306565940380096
0.19654129445552826,0.22000351548194885,0.20095863938331604,0.21781101822853088,0.2219543308019638
0.19570887088775635,0.21916703879833221,0.20046237111091614,0.21736811101436615,0.2208750694990158
0.19488635659217834,0.21833226084709167,0.19994202256202698,0.2169383019208908,0.2198380082845688
0.194078266620636,0.21751047670841217,0.19944092631340027,0.21651031076908112,0.21886874735355377
0.19329223036766052,0.21671023964881897,0.19896237552165985,0.21604199707508087,0.21795566380023956
0.1925199031829834,0.2159247249364853,0.19844776391983032,0.21565228700637817,0.2170165777206421
0.19173608720302582,0.2151447981595993,0.1979525238275528,0.21524858474731445,0.21606551110744476
0.19093580543994904,0.21437174081802368,0.19745542109012604,0.21482717990875244,0.21511371433734894
0.19016581773757935,0.21360532939434052,0.19695840775966644,0.2143256664276123,0.21419908106327057
0.18941564857959747,0.21287742257118225,0.19647075235843658,0.21389618515968323,0.21332228183746338
0.18865907192230225,0.21218763291835785,0.19597174227237701,0.213464617729187,0.2124771624803543
0.187896266579628,0.21151724457740784,0.19550716876983643,0.2129535973072052,0.21162326633930206
0.1871301829814911,0.21085701882839203,0.19502317905426025,0.21253222227096558,0.21078802645206451
0.1863611936569214,0.21021324396133423,0.19454510509967804,0.21209871768951416,0.20995408296585083
0.18559062480926514,0.20959173142910004,0.19408588111400604,0.21160414814949036,0.2091236114501953
0.18481799960136414,0.20897816121578217,0.19362251460552216,0.2111336588859558,0.20828957855701447
0.18403717875480652,0.20836833119392395,0.1931542009115219,0.21071279048919678,0.2074795812368393
0.18323732912540436,0.20777109265327454,0.1926947385072708,0.2102535367012024,0.20673155784606934
0.18242833018302917,0.20718246698379517,0.1922316551208496,0.2097638100385666,0.20594312250614166
0.18161891400814056,0.20660065114498138,0.19177737832069397,0.20931264758110046,0.20512959361076355
0.1807975322008133,0.20603065192699432,0.19133540987968445,0.2088543027639389,0.20437516272068024
0.17996715009212494,0.20546835660934448,0.1908872276544571,0.20843730866909027,0.2036094218492508
0.17916403710842133,0.20490574836730957,0.19042156636714935,0.2080092579126358,0.20286156237125397
0.17836330831050873,0.20435135066509247,0.1899423599243164,0.2075740545988083,0.2021188735961914
0.17758014798164368,0.20379695296287537,0.1895221322774887,0.20713843405246735,0.2013862133026123
0.1767900288105011,0.20324207842350006,0.18907585740089417,0.20669202506542206,0.20066063106060028
0.17600104212760925,0.2026871293783188,0.1885838657617569,0.20621438324451447,0.1999482363462448
0.1752292662858963,0.20213794708251953,0.18817515671253204,0.2057207226753235,0.1992502361536026
0.17445923388004303,0.2015901803970337,0.18776270747184753,0.20526352524757385,0.1985081434249878
0.17370760440826416,0.20104725658893585,0.18733493983745575,0.204802468419075,0.19777262210845947
0.1729554831981659,0.20051394402980804,0.1868842989206314,0.20440132915973663,0.1972140520811081
0.1722063571214676,0.19999732077121735,0.18642163276672363,0.20396476984024048,0.19650565087795258
0.17152197659015656,0.19948118925094604,0.1859746277332306,0.20349320769309998,0.19578152894973755
0.17084118723869324,0.19896309077739716,0.18555305898189545,0.2030324935913086,0.19504335522651672
0.17015589773654938,0.1984434425830841,0.18508975207805634,0.2026446908712387,0.19443491101264954
0.16946980357170105,0.19792285561561584,0.18465887010097504,0.20221452414989471,0.1938299983739853
0.16878747940063477,0.1974043995141983,0.1842261552810669,0.20174801349639893,0.19318735599517822
0.16811875998973846,0.19688750803470612,0.18378162384033203,0.20132480561733246,0.19253720343112946
0.16745489835739136,0.19636909663677216,0.18333512544631958,0.2009270340204239,0.19190241396427155
0.16678926348686218,0.1958465278148651,0.1829204559326172,0.20051848888397217,0.19125288724899292
