step,y,x,action,next_y,next_x,reward,done
0,4,0,1,4,0,0,False
1,4,0,1,4,0,0,False
2,4,0,0,3,0,0,False
3,3,0,3,3,1,0,False
4,3,1,2,3,0,0,False
5,3,0,2,3,0,0,False
6,3,0,2,3,0,0,False
7,3,0,1,4,0,0,False
8,4,0,0,3,0,0,False
9,3,0,2,3,0,0,False
10,3,0,1,4,0,0,False
11,4,0,3,4,1,0,False
12,4,1,1,4,1,0,False
13,4,1,1,4,1,0,False
14,4,1,1,4,1,0,False
15,4,1,1,4,1,0,False
16,4,1,3,4,1,0,False
17,4,1,2,4,0,0,False
18,4,0,1,4,0,0,False
19,4,0,0,3,0,0,False
20,3,0,0,2,0,0,False
21,2,0,1,3,0,0,False
22,3,0,0,2,0,0,False
23,2,0,2,2,0,0,False
24,2,0,3,2,1,0,False
25,2,1,2,2,0,0,False
26,2,0,3,2,1,0,False
27,2,1,0,1,1,0,False
28,1,1,2,1,0,0,False
29,1,0,1,2,0,0,False
30,2,0,0,1,0,0,False
31,1,0,3,1,1,0,False
32,1,1,0,0,1,0,False
33,0,1,3,0,1,0,False
34,0,1,1,1,1,0,False
35,1,1,1,2,1,0,False
36,2,1,2,2,0,0,False
37,2,0,3,2,1,0,False
38,2,1,3,2,2,0,False
39,2,2,1,2,2,0,False
40,2,2,3,2,3,0,False
41,2,3,3,2,4,0,False
42,2,4,0,1,4,0,False
43,1,4,3,1,4,0,False
44,1,4,1,2,4,0,False
45,2,4,2,2,3,0,False
46,2,3,2,2,2,0,False
47,2,2,2,2,1,0,False
48,2,1,3,2,2,0,False
49,2,2,3,2,3,0,False
50,2,3,3,2,4,0,False
51,2,4,1,3,4,0,False
52,3,4,3,3,4,0,False
53,3,4,3,3,4,0,False
54,3,4,0,2,4,0,False
55,2,4,1,3,4,0,False
56,3,4,0,2,4,0,False
57,2,4,0,1,4,0,False
58,1,4,1,2,4,0,False
59,2,4,1,3,4,0,False
60,3,4,2,3,3,0,False
61,3,3,0,2,3,0,False
62,2,3,1,3,3,0,False
63,3,3,0,2,3,0,False
64,2,3,3,2,4,0,False
65,2,4,3,2,4,0,False
66,2,4,3,2,4,0,False
67,2,4,2,2,3,0,False
68,2,3,3,2,4,0,False
69,2,4,1,3,4,0,False
70,3,4,1,4,4,0,False
71,4,4,2,4,3,0,False
72,4,3,0,3,3,0,False
73,3,3,3,3,4,0,False
74,3,4,0,2,4,0,False
76,3,4,0,2,4,0,False
77,2,4,3,2,4,0,False
79,3,4,3,3,4,0,False
80,3,4,2,3,3,0,False
81,3,3,0,2,3,0,False
82,2,3,1,3,3,0,False
83,3,3,2,3,3,0,False
84,3,3,0,2,3,0,False
86,2,4,0,1,4,0,False
87,1,4,2,1,3,0,False
88,1,3,2,1,3,0,False
89,1,3,0,0,3,0,False
90,0,3,0,0,3,0,False
91,0,3,1,1,3,0,False
92,1,3,1,2,3,0,False
93,2,3,2,2,2,0,False
94,2,2,2,2,1,0,False
95,2,1,0,1,1,0,False
96,1,1,3,1,1,0,False
97,1,1,0,0,1,0,False
98,0,1,3,0,1,0,False
99,0,1,3,0,1,0,False
100,0,1,0,0,1,0,False
101,0,1,3,0,1,0,False
102,0,1,1,1,1,0,False
103,1,1,0,0,1,0,False
104,0,1,0,0,1,0,False
105,0,1,1,1,1,0,False
106,1,1,2,1,0,0,False
107,1,0,1,2,0,0,False
108,2,0,0,1,0,0,False
109,1,0,1,2,0,0,False
110,2,0,3,2,1,0,False
111,2,1,0,1,1,0,False
112,1,1,3,1,1,0,False
113,1,1,2,1,0,0,False
114,1,0,0,0,0,0,False
115,0,0,3,0,1,0,False
117,0,1,1,1,1,0,False
118,1,1,0,0,1,0,False
119,0,1,2,0,0,0,False
120,0,0,0,0,0,0,False
121,0,0,1,1,0,0,False
122,1,0,2,1,0,0,False
123,1,0,2,1,0,0,False
124,1,0,2,1,0,0,False
125,1,0,1,2,0,0,False
126,2,0,2,2,0,0,False
127,2,0,0,1,0,0,False
129,2,0,0,1,0,0,False
130,1,0,2,1,0,0,False
133,1,0,0,0,0,0,False
134,0,0,2,0,0,0,False
135,0,0,3,0,1,0,False
136,0,1,2,0,0,0,False
137,0,0,2,0,0,0,False
138,0,0,0,0,0,0,False
139,0,0,3,0,1,0,False
140,0,1,2,0,0,0,False
141,0,0,1,1,0,0,False
144,2,1,3,2,2,0,False
145,2,2,1,2,2,0,False
146,2,2,3,2,3,0,False
147,2,3,2,2,2,0,False
148,2,2,3,2,3,0,False
149,2,3,0,1,3,0,False
150,1,3,3,1,4,0,False
151,1,4,1,2,4,0,False
152,2,4,3,2,4,0,False
153,2,4,0,1,4,0,False
154,1,4,2,1,3,0,False
155,1,3,0,0,3,0,False
156,0,3,3,0,4,1,True
0,4,0,3,4,1,0,False
2,4,1,2,4,0,0,False
3,4,0,2,4,0,0,False
4,4,0,1,4,0,0,False
5,4,0,3,4,1,0,False
6,4,1,2,4,0,0,False
9,4,0,2,4,0,0,False
10,4,0,3,4,1,0,False
12,4,1,0,3,1,0,False
13,3,1,0,2,1,0,False
14,2,1,2,2,0,0,False
15,2,0,2,2,0,0,False
18,1,0,0,0,0,0,False
19,0,0,3,0,1,0,False
21,0,1,2,0,0,0,False
22,0,0,1,1,0,0,False
24,1,0,3,1,1,0,False
25,1,1,2,1,0,0,False
26,1,0,3,1,1,0,False
28,1,0,0,0,0,0,False
29,0,0,0,0,0,0,False
30,0,0,0,0,0,0,False
31,0,0,2,0,0,0,False
32,0,0,2,0,0,0,False
35,0,0,1,1,0,0,False
37,2,0,2,2,0,0,False
38,2,0,1,3,0,0,False
39,3,0,2,3,0,0,False
40,3,0,1,4,0,0,False
41,4,0,2,4,0,0,False
42,4,0,2,4,0,0,False
44,4,0,0,3,0,0,False
45,3,0,0,2,0,0,False
47,1,0,3,1,1,0,False
48,1,1,1,2,1,0,False
49,2,1,2,2,0,0,False
50,2,0,1,3,0,0,False
51,3,0,0,2,0,0,False
56,0,1,0,0,1,0,False
58,0,1,0,0,1,0,False
60,1,1,3,1,1,0,False
61,1,1,3,1,1,0,False
72,2,0,1,3,0,0,False
76,3,0,3,3,1,0,False
77,3,1,2,3,0,0,False
83,2,1,0,1,1,0,False
99,1,1,1,2,1,0,False
102,3,0,3,3,1,0,False
103,3,1,0,2,1,0,False
104,2,1,1,3,1,0,False
105,3,1,1,4,1,0,False
106,4,1,0,3,1,0,False
107,3,1,2,3,0,0,False
108,3,0,3,3,1,0,False
109,3,1,1,4,1,0,False
