step,y,x,action,next_y,next_x,reward,done
391,4,0,3,4,1,0,False
392,4,1,2,4,0,0,False
393,4,0,1,5,0,0,False
394,5,0,1,5,0,0,False
395,5,0,1,5,0,0,False
396,5,0,2,5,0,0,False
397,5,0,3,5,1,0,False
398,5,1,1,5,1,0,False
399,5,1,3,5,2,0,False
400,5,2,1,5,2,0,False
401,5,2,2,5,1,0,False
402,5,1,3,5,2,0,False
403,5,2,1,5,2,0,False
404,5,2,1,5,2,0,False
405,5,2,3,5,3,0,False
406,5,3,1,5,3,0,False
407,5,3,1,5,3,0,False
408,5,3,3,5,4,0,False
409,5,4,1,5,4,0,False
410,5,4,1,5,4,0,False
411,5,4,0,4,4,0,False
412,4,4,3,4,4,0,False
413,4,4,1,5,4,0,False
414,5,4,0,4,4,0,False
415,4,4,3,4,4,0,False
416,4,4,2,4,3,0,False
417,4,3,0,4,3,0,False
418,4,3,0,4,3,0,False
419,4,3,1,5,3,0,False
420,5,3,3,5,4,0,False
421,5,4,0,4,4,0,False
422,4,4,2,4,3,0,False
423,4,3,0,4,3,0,False
424,4,3,3,4,4,0,False
425,4,4,2,4,3,0,False
426,4,3,0,4,3,0,False
428,4,3,1,5,3,0,False
429,5,3,2,5,2,0,False
430,5,2,1,5,2,0,False
431,5,2,3,5,3,0,False
432,5,3,2,5,2,0,False
433,5,2,2,5,1,0,False
434,5,1,3,5,2,0,False
435,5,2,2,5,1,0,False
436,5,1,3,5,2,0,False
438,5,1,0,4,1,0,False
439,4,1,1,5,1,0,False
442,5,1,2,5,0,0,False
443,5,0,3,5,1,0,False
446,5,1,0,4,1,0,False
447,4,1,1,5,1,0,False
448,5,1,2,5,0,0,False
449,5,0,3,5,1,0,False
451,5,2,3,5,3,0,False
452,5,3,0,4,3,0,False
453,4,3,1,5,3,0,False
454,5,3,3,5,4,0,False
455,5,4,2,5,3,0,False
456,5,3,3,5,4,0,False
457,5,4,1,5,4,0,False
459,4,4,1,5,4,0,False
460,5,4,2,5,3,0,False
461,5,3,0,4,3,0,False
463,4,3,1,5,3,0,False
464,5,3,2,5,2,0,False
465,5,2,0,5,2,0,False
468,5,1,0,4,1,0,False
469,4,1,2,4,0,0,False
470,4,0,3,4,1,0,False
471,4,1,1,5,1,0,False
472,5,1,2,5,0,0,False
473,5,0,1,5,0,0,False
474,5,0,2,5,0,0,False
475,5,0,1,5,0,0,False
476,5,0,3,5,1,0,False
477,5,1,1,5,1,0,False
478,5,1,1,5,1,0,False
479,5,1,1,5,1,0,False
480,5,1,2,5,0,0,False
481,5,0,2,5,0,0,False
482,5,0,2,5,0,0,False
490,5,0,0,4,0,0,False
491,4,0,3,4,1,0,False
492,4,1,0,4,1,0,False
493,4,1,0,4,1,0,False
494,4,1,1,5,1,0,False
496,4,1,2,4,0,0,False
497,4,0,3,4,1,0,False
499,4,0,1,5,0,0,False
506,5,2,3,5,3,0,False
507,5,3,1,5,3,0,False
511,5,2,0,5,2,0,False
514,5,4,2,5,3,0,False
533,4,0,2,4,0,0,False
534,4,0,0,3,0,0,False
535,3,0,0,2,0,0,False
536,2,0,2,2,0,0,False
537,2,0,3,2,1,0,False
538,2,1,2,2,0,0,False
539,2,0,2,2,0,0,False
540,2,0,3,2,1,0,False
541,2,1,3,2,2,0,False
542,2,2,2,2,1,0,False
543,2,1,0,2,1,0,False
544,2,1,1,2,1,0,False
545,2,1,0,2,1,0,False
546,2,1,1,2,1,0,False
547,2,1,2,2,0,0,False
548,2,0,1,3,0,0,False
549,3,0,2,3,0,0,False
550,3,0,0,2,0,0,False
551,2,0,2,2,0,0,False
552,2,0,3,2,1,0,False
553,2,1,1,2,1,0,False
554,2,1,0,2,1,0,False
555,2,1,1,2,1,0,False
556,2,1,3,2,2,0,False
557,2,2,2,2,1,0,False
558,2,1,2,2,0,0,False
559,2,0,2,2,0,0,False
560,2,0,0,1,0,0,False
561,1,0,3,1,0,0,False
562,1,0,2,1,0,0,False
563,1,0,0,0,0,0,False
564,0,0,3,0,0,0,False
565,0,0,2,0,0,0,False
566,0,0,0,0,0,0,False
567,0,0,0,0,0,0,False
568,0,0,1,1,0,0,False
569,1,0,2,1,0,0,False
570,1,0,2,1,0,0,False
571,1,0,0,0,0,0,False
572,0,0,1,1,0,0,False
573,1,0,3,1,0,0,False
574,1,0,2,1,0,0,False
575,1,0,3,1,0,0,False
577,1,0,1,2,0,0,False
579,2,0,1,3,0,0,False
580,3,0,2,3,0,0,False
581,3,0,3,3,0,0,False
582,3,0,1,4,0,0,False
587,4,0,2,4,0,0,False
588,4,0,0,3,0,0,False
589,3,0,0,2,0,0,False
590,2,0,0,1,0,0,False
591,1,0,0,0,0,0,False
592,0,0,3,0,0,0,False
593,0,0,1,1,0,0,False
594,1,0,0,0,0,0,False
595,0,0,0,0,0,0,False
596,0,0,1,1,0,0,False
598,0,0,2,0,0,0,False
599,0,0,0,0,0,0,False
602,0,0,2,0,0,0,False
606,1,0,3,1,0,0,False
608,0,0,2,0,0,0,False
617,0,0,3,0,0,0,False
618,0,0,3,0,0,0,False
628,1,0,1,2,0,0,False
629,2,0,3,2,1,0,False
630,2,1,2,2,0,0,False
631,2,0,1,3,0,0,False
632,3,0,2,3,0,0,False
633,3,0,0,2,0,0,False
634,2,0,0,1,0,0,False
639,1,0,1,2,0,0,False
