model_0,model_1,model_2
72.55520629882812,68.01119995117188,81.8344497680664
72.90077209472656,69.47953796386719,73.834716796875
65.73828125,65.951904296875,72.694580078125
69.6722640991211,66.82598114013672,69.58660125732422
62.938209533691406,62.457271575927734,68.04452514648438
66.06320190429688,61.88905334472656,78.47417449951172
29.88013458251953,90.48516082763672,74.85678100585938
62.52804946899414,60.13037109375,75.69920349121094
57.460243225097656,60.05673599243164,67.50277709960938
56.8946533203125,56.23450469970703,74.63246154785156
56.672637939453125,57.5355110168457,65.655029296875
54.83863067626953,50.74298858642578,71.21852111816406
52.715049743652344,48.40005874633789,64.57061004638672
82.89311218261719,62.51948165893555,52.6846923828125
49.70281982421875,51.31501007080078,69.27821350097656
45.84944152832031,49.129981994628906,64.61264038085938
44.49817657470703,44.0691032409668,66.54849243164062
41.10734558105469,44.98069763183594,69.60331726074219
42.773475646972656,40.178924560546875,66.18633270263672
40.631858825683594,37.638343811035156,57.31589126586914
26.5192928314209,47.170982360839844,40.50133514404297
34.084293365478516,32.91801834106445,63.08911895751953
33.6082763671875,35.73602294921875,60.71495819091797
31.270381927490234,35.86545181274414,58.303524017333984
28.998477935791016,31.825536727905273,58.09978485107422
26.684253692626953,29.806232452392578,60.28708267211914
23.258285522460938,27.273832321166992,60.7279167175293
19.430496215820312,19.99909210205078,46.99193572998047
21.438777923583984,22.721988677978516,57.647125244140625
20.091346740722656,24.01596450805664,54.85863494873047
16.75194549560547,21.192798614501953,52.57550811767578
14.18959903717041,19.734222412109375,56.362064361572266
13.852888107299805,17.715755462646484,52.36601638793945
12.312080383300781,17.670970916748047,45.93031311035156
9.084403991699219,9.278847694396973,45.17970275878906
11.156110763549805,15.487292289733887,46.63771057128906
7.5854997634887695,12.434797286987305,45.07135009765625
8.370275497436523,11.344629287719727,43.54966735839844
9.145190238952637,10.62105941772461,43.455360412597656
10.69849681854248,13.7476806640625,41.20547866821289
9.732671737670898,10.997766494750977,40.48699188232422
11.894572257995605,4.362756729125977,45.29789352416992
8.3390474319458,11.235431671142578,34.108245849609375
10.129972457885742,7.668190002441406,36.97356414794922
8.139384269714355,10.356388092041016,29.943382263183594
9.059558868408203,8.621639251708984,30.681764602661133
9.227190971374512,10.768774032592773,29.315425872802734
7.709738731384277,10.763808250427246,27.27253532409668
14.761138916015625,15.308459281921387,17.2019100189209
8.562267303466797,10.894495010375977,24.064495086669922
8.433910369873047,10.01706314086914,18.58696746826172
6.2512311935424805,8.978147506713867,20.017749786376953
5.268231391906738,9.438234329223633,19.59381866455078
7.249800205230713,8.85489273071289,18.350055694580078
5.897937774658203,8.60542106628418,15.760164260864258
4.1637492179870605,5.289516448974609,10.157926559448242
4.290561199188232,7.666369438171387,14.018685340881348
5.043716907501221,8.20297908782959,11.344206809997559
5.05120849609375,7.7323408126831055,11.56478214263916
6.164376258850098,8.106447219848633,12.755067825317383
3.613656520843506,7.391818523406982,11.473572731018066
4.331989288330078,7.387864112854004,9.725534439086914
11.110639572143555,11.156356811523438,4.977185249328613
3.9582529067993164,5.847018241882324,11.599546432495117
4.245583534240723,6.3398637771606445,10.32712173461914
4.3747735023498535,6.627741813659668,9.334287643432617
2.6852166652679443,5.789249420166016,12.138397216796875
3.078336000442505,6.414417266845703,9.193958282470703
3.6873602867126465,7.002382755279541,13.09232234954834
1.1803617477416992,4.7107038497924805,8.174002647399902
3.027039051055908,5.950772285461426,10.215166091918945
2.627002239227295,6.764007568359375,11.289579391479492
2.336791515350342,5.356788158416748,12.525168418884277
2.4455883502960205,4.546670436859131,12.24680233001709
2.661670207977295,5.432035446166992,7.818275451660156
1.768442153930664,3.46126389503479,9.79145622253418
0.9227110743522644,1.109269142150879,13.959433555603027
1.5754362344741821,4.368064880371094,8.598332405090332
1.690510869026184,3.9027888774871826,9.932656288146973
1.4432235956192017,4.104190826416016,10.049751281738281
1.8820061683654785,4.268355369567871,9.426054000854492
1.802722692489624,3.600761890411377,8.158178329467773
1.5027284622192383,3.7376866340637207,8.464899063110352
1.256896734237671,1.1524447202682495,9.098470687866211
0.931509792804718,2.89607572555542,9.635581970214844
1.2982118129730225,2.8385837078094482,7.948400974273682
1.36995530128479,3.6176137924194336,7.92972469329834
1.573541283607483,2.161679744720459,7.678875923156738
1.2570029497146606,2.923243522644043,8.363912582397461
0.7451255321502686,2.7715580463409424,7.9924163818359375
1.1807091236114502,3.406212329864502,8.877397537231445
0.8511520624160767,2.23773193359375,9.418914794921875
1.039331316947937,1.6695998907089233,5.864186763763428
1.1589527130126953,2.1101839542388916,8.516481399536133
0.9052284359931946,2.442019462585449,7.536182403564453
0.8253414630889893,1.5097969770431519,7.439245223999023
0.8433340191841125,1.646831750869751,5.603545665740967
0.6659398078918457,3.2728590965270996,4.393219947814941
0.7298117280006409,1.6104226112365723,6.034917831420898
0.6831216812133789,1.4113104343414307,6.954584121704102
0.8505370616912842,1.1633888483047485,6.196855545043945
0.7165583968162537,1.1705303192138672,6.6594743728637695
1.0353401899337769,1.2353581190109253,6.5946197509765625
0.9234507083892822,1.0415513515472412,4.841693878173828
0.4841937720775604,0.7602972388267517,7.929183483123779
0.8907712697982788,0.9372986555099487,5.285553932189941
0.6533511281013489,0.9530694484710693,5.028336524963379
0.636001706123352,0.9949419498443604,5.272628307342529
0.84742671251297,0.6529918909072876,5.380980014801025
0.7012593150138855,0.8178437948226929,4.552615165710449
0.6381411552429199,1.032792568206787,4.923625946044922
1.5227216482162476,0.3412669599056244,7.831958293914795
0.6959284543991089,0.8036608695983887,3.44783616065979
0.7010598182678223,0.5446910262107849,4.738343238830566
0.708676815032959,0.7652138471603394,3.766796350479126
0.620171070098877,0.8129244446754456,4.381435394287109
0.6629011631011963,0.7374778985977173,4.065783500671387
0.5249821543693542,0.8280762434005737,3.232290506362915
0.3291259706020355,0.8138498067855835,5.723374843597412
0.6275292634963989,0.5906248092651367,3.492922306060791
0.5662131309509277,0.6772509813308716,2.844468116760254
0.5633853673934937,0.7538988590240479,3.3816070556640625
0.61307692527771,0.8091620206832886,2.3725359439849854
0.5539423227310181,0.6478631496429443,3.1252589225769043
0.5228140950202942,0.6008633375167847,2.257052183151245
1.0947247743606567,1.1116594076156616,3.3573272228240967
0.5286200046539307,0.5948792695999146,2.0465598106384277
0.48165473341941833,0.5839939117431641,2.2916605472564697
0.48760175704956055,0.6451104879379272,1.7143938541412354
0.5890821814537048,0.5950517654418945,1.955845832824707
0.5270727872848511,0.611710786819458,2.458651304244995
0.5664994716644287,0.7425292730331421,1.627213478088379
0.15721629559993744,0.3339400291442871,2.668006658554077
0.45504117012023926,0.5455084443092346,1.5862338542938232
0.5527877807617188,0.6288120150566101,1.4172565937042236
0.4720233678817749,0.5142786502838135,1.528748869895935
0.5591708421707153,0.5954504609107971,1.4857547283172607
0.4345453381538391,0.5823581218719482,0.8480871915817261
0.48770999908447266,0.5339370369911194,1.3223639726638794
0.3852303624153137,0.7642329931259155,2.1641082763671875
0.5340746641159058,0.5332905054092407,1.0655654668807983
0.3238459527492523,0.5602191686630249,1.1479071378707886
0.5363999605178833,0.49588465690612793,1.434333324432373
