model_0,model_1,model_2,model_3,model_4
6.758018970489502,6.062686920166016,7.4366559982299805,6.815336227416992,6.170530796051025
6.640327453613281,5.947440147399902,7.3429670333862305,6.727609634399414,6.068011283874512
6.520750999450684,5.834416389465332,7.250255107879639,6.640752792358398,5.963661193847656
6.399539470672607,5.724374294281006,7.1614274978637695,6.552116394042969,5.859683990478516
6.279749393463135,5.615877151489258,7.074435234069824,6.463469505310059,5.755809783935547
6.161129951477051,5.5089287757873535,6.988344192504883,6.373868942260742,5.651215553283691
6.041858673095703,5.402590751647949,6.9039764404296875,6.282075881958008,5.54579496383667
5.922505855560303,5.296124458312988,6.821281433105469,6.186142921447754,5.439297676086426
5.804092884063721,5.18943977355957,6.742856502532959,6.084841251373291,5.330872535705566
5.685421943664551,5.0813398361206055,6.669248104095459,5.977369785308838,5.2197136878967285
5.566267967224121,4.971619606018066,6.597049236297607,5.865874290466309,5.1058526039123535
5.445793151855469,4.861104965209961,6.524203300476074,5.751583099365234,4.9892578125
5.324268341064453,4.748687744140625,6.449004173278809,5.634008407592773,4.8697404861450195
5.202479362487793,4.63426399230957,6.371118545532227,5.513625144958496,4.746853828430176
5.079218864440918,4.518764019012451,6.289524078369141,5.3885040283203125,4.62156867980957
4.954521179199219,4.400979518890381,6.20424747467041,5.25908088684082,4.492948055267334
4.828871726989746,4.281282424926758,6.1156206130981445,5.125690460205078,4.3614726066589355
4.701383113861084,4.160109519958496,6.023397922515869,4.988491535186768,4.226910591125488
4.572088241577148,4.0373454093933105,5.927229881286621,4.847527027130127,4.08911657333374
4.44013786315918,3.912482261657715,5.8266425132751465,4.703390121459961,3.9486868381500244
4.305500030517578,3.786585569381714,5.721951961517334,4.5562896728515625,3.8060216903686523
4.168513298034668,3.6598851680755615,5.611498832702637,4.406793594360352,3.6619229316711426
4.028936386108398,3.5323586463928223,5.494243621826172,4.254569053649902,3.516402244567871
3.8867733478546143,3.4030866622924805,5.370203495025635,4.099491119384766,3.369602918624878
3.7419140338897705,3.272610902786255,5.238080978393555,3.9420580863952637,3.2211334705352783
3.594498634338379,3.142049789428711,5.097609996795654,3.783052921295166,3.0723955631256104
3.4454455375671387,3.01120662689209,4.950592041015625,3.623568296432495,2.9244141578674316
3.2947685718536377,2.8805088996887207,4.7958574295043945,3.4645442962646484,2.7775659561157227
3.143730640411377,2.7507145404815674,4.634592056274414,3.3060927391052246,2.6328177452087402
2.9924612045288086,2.6223528385162354,4.467093467712402,3.1492209434509277,2.4915173053741455
2.841484546661377,2.4963486194610596,4.293573379516602,2.995476722717285,2.3544747829437256
2.691659450531006,2.3734352588653564,4.114413261413574,2.845080614089966,2.2227110862731934
2.544557809829712,2.254594326019287,3.9315671920776367,2.6995012760162354,2.097276210784912
2.4009947776794434,2.1414785385131836,3.7459373474121094,2.56032657623291,1.9791440963745117
2.2618167400360107,2.035154104232788,3.558150291442871,2.4285168647766113,1.8690752983093262
2.128262996673584,1.9369099140167236,3.369654655456543,2.3058719635009766,1.7672775983810425
2.001943349838257,1.847083330154419,3.1817400455474854,2.193927049636841,1.673367977142334
1.884526014328003,1.767584204673767,2.9957776069641113,2.094041347503662,1.5872242450714111
1.7766833305358887,1.6994467973709106,2.813295364379883,2.007056474685669,1.5085358619689941
1.6795423030853271,1.6430468559265137,2.635871410369873,1.9332618713378906,1.436605453491211
1.5937389135360718,1.5981218814849854,2.4651973247528076,1.872187614440918,1.3705992698669434
1.5191290378570557,1.5648521184921265,2.3029260635375977,1.8228703737258911,1.309290885925293
1.4552404880523682,1.54276442527771,2.1511096954345703,1.7838016748428345,1.2515027523040771
1.4012391567230225,1.5293538570404053,2.0115067958831787,1.752964973449707,1.1960047483444214
1.3553080558776855,1.5211690664291382,1.885469675064087,1.728790283203125,1.1429147720336914
1.3153817653656006,1.5157811641693115,1.7742159366607666,1.7086831331253052,1.0921387672424316
1.2792973518371582,1.510968565940857,1.6783795356750488,1.690202236175537,1.042431116104126
1.2450778484344482,1.5041894912719727,1.5978258848190308,1.6729583740234375,0.9946537613868713
1.2109707593917847,1.493788242340088,1.5317171812057495,1.6546950340270996,0.9475148320198059
1.17510986328125,1.478696346282959,1.4786601066589355,1.6352144479751587,0.9012008309364319
1.13617742061615,1.4585447311401367,1.436514139175415,1.613256812095642,0.8553232550621033
1.0935914516448975,1.4337294101715088,1.402930498123169,1.5887454748153687,0.8099989295005798
1.0474563837051392,1.4050184488296509,1.3752331733703613,1.5624737739562988,0.7652215957641602
0.9981542825698853,1.3738207817077637,1.3510911464691162,1.5343704223632812,0.7216352224349976
0.9464584589004517,1.341140627861023,1.3293203115463257,1.5044854879379272,0.6789475679397583
0.893474817276001,1.3075945377349854,1.3077319860458374,1.4739396572113037,0.6376245021820068
0.8402247428894043,1.274603009223938,1.284797191619873,1.4433214664459229,0.5980237722396851
0.7880706787109375,1.2424148321151733,1.2586712837219238,1.4130876064300537,0.5605318546295166
0.737932562828064,1.2112802267074585,1.2291200160980225,1.3835601806640625,0.5251494646072388
0.6903764605522156,1.1813346147537231,1.1963683366775513,1.3550869226455688,0.49195200204849243
0.6456855535507202,1.152457594871521,1.1606231927871704,1.3284709453582764,0.46125566959381104
0.6047078371047974,1.1247062683105469,1.1226855516433716,1.303184151649475,0.4330889582633972
0.5672889947891235,1.0977275371551514,1.0832653045654297,1.2790827751159668,0.4073990285396576
0.5331767797470093,1.0712566375732422,1.0431735515594482,1.255871295928955,0.3842359185218811
0.5022494792938232,1.0450248718261719,1.0032100677490234,1.2330095767974854,0.3635743260383606
0.47510209679603577,1.0188581943511963,0.9639071822166443,1.2103995084762573,0.34544751048088074
0.450975239276886,0.9929709434509277,0.9258491396903992,1.187785267829895,0.33012068271636963
0.4298255443572998,0.9671571254730225,0.8888161778450012,1.165393590927124,0.3174319863319397
0.41127535700798035,0.9411623477935791,0.8532707691192627,1.1426899433135986,0.30723631381988525
0.39552080631256104,0.9147936105728149,0.8193152546882629,1.119314432144165,0.29930680990219116
0.38168686628341675,0.887973427772522,0.7870771884918213,1.0955116748809814,0.2934831976890564
0.3698657155036926,0.8606677055358887,0.7560676336288452,1.071286678314209,0.2892726957798004
